"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Breena, the Demagogue","otc","Near Mint","English","","","2025-04-07 23:55:14.103000","217","False","False",""
"1","1","Breya, Etherium Shaper","c16","Near Mint","English","foil","","2025-04-21 11:47:18.543000","29","False","False",""
"1","1","Bridge from Below","spg","Near Mint","English","foil","","2025-04-15 05:40:44.770000","3","False","False",""
"1","1","Bristlebud Farmer","big","Near Mint","English","","","2025-04-20 20:14:36.047000","17","False","False",""
"1","1","Bronze Guardian","brc","Near Mint","English","","","2025-04-20 20:14:36.047000","70","False","False",""
"1","1","Burning Inquiry","m10","Near Mint","English","","","2025-04-20 20:14:36.047000","128","False","False",""
"1","1","Caldera Pyremaw","tdc","Near Mint","English","","","2025-04-07 23:40:24.323000","73","False","False",""
"1","1","Carpet of Flowers","who","Near Mint","English","","","2025-04-20 20:14:36.047000","229","False","False",""
"1","1","Caustic Bronco","otj","Near Mint","English","foil","","2025-04-15 05:40:44.770000","324","False","False",""
"1","1","Chain of Vapor","c16","Near Mint","English","","","2025-04-20 20:14:36.047000","84","False","False",""
"1","1","Champion of the Perished","mid","Near Mint","English","","","2025-04-15 05:40:44.770000","91","False","False",""
"2","2","Chandra, Hope's Beacon","mom","Near Mint","English","","","2025-04-20 20:14:36.047000","134","False","False",""
"1","1","Chandra's Ignition","lcc","Near Mint","English","","","2025-04-21 11:47:18.543000","220","False","False",""
"1","1","Chaos Warp","cmd","Near Mint","English","","","2025-04-21 11:47:18.543000","114","False","False",""
"1","1","Chaos Warp","40k","Near Mint","English","","","2025-04-21 11:47:18.543000","205","False","False",""
"2","2","Chasm Skulker","c16","Near Mint","English","","","2025-04-20 20:14:36.047000","85","False","False",""
"1","1","Chatterfang, Squirrel General","blc","Near Mint","English","","","2025-04-20 20:14:36.047000","82","False","False",""
"1","1","Chromatic Lantern","drc","Near Mint","English","","","2025-04-15 01:54:31.727000","53","False","False",""
"1","1","Clarion Conqueror","tdm","Near Mint","English","foil","","2025-04-07 23:45:51.480000","5","False","False",""
"1","1","Clarion Conqueror","tdm","Near Mint","English","","","2025-04-07 23:45:51.480000","377","False","False",""
"1","1","Clever Impersonator","ktk","Near Mint","English","","","2025-04-20 20:14:36.047000","34","False","False",""
"1","1","Clone Legion","ncc","Near Mint","English","","","2025-04-20 20:14:36.047000","215","False","False",""
"1","1","Clone Legion","c17","Near Mint","English","","","2025-04-15 01:50:02.157000","84","False","False",""
"1","1","Colossification","iko","Near Mint","English","","","2025-04-20 20:14:36.047000","148","False","False",""
"1","1","Comet Storm","c17","Near Mint","English","","","2025-04-20 20:14:36.047000","132","False","False",""
"1","1","Conjurer's Closet","drc","Near Mint","English","","","2025-04-07 23:44:26.733000","126","False","False",""
"1","1","Consign to Memory","mh3","Near Mint","English","","","2025-04-20 20:14:36.047000","54","False","False",""
"1","1","Contest of Claws","lcc","Near Mint","English","","","2025-04-20 20:14:36.047000","12","False","False",""
"1","1","Counterspell","cmm","Near Mint","English","","","2025-04-20 20:14:36.047000","81","False","False",""
"2","2","Counterspell","cmm","Near Mint","English","","","2025-04-20 20:14:36.047000","630","False","False",""
"1","1","Counterspell","mh2","Near Mint","English","","","2025-04-20 20:14:36.047000","267","False","False",""
"1","1","Counterspell","sta","Near Mint","English","","","2025-04-20 20:14:36.047000","15","False","False",""
"1","1","Court of Embereth","woc","Near Mint","English","","","2025-04-21 11:47:18.543000","24","False","False",""
"1","1","Creative Technique","c21","Near Mint","English","","","2025-04-21 11:47:18.543000","49","False","False",""
"1","1","Cresting Mosasaurus","rex","Near Mint","English","","","2025-04-07 23:32:07.767000","2","False","False",""
"1","1","Crux of Fate","c17","Near Mint","English","","","2025-04-15 05:40:44.770000","107","False","False",""
"1","1","Cryptic Command","lrw","Near Mint","English","","","2025-04-20 20:14:36.047000","56","False","False",""
"1","1","Curiosity Crafter","c21","Near Mint","English","","","2025-04-07 23:32:07.767000","24","False","False",""
"1","1","Curious Altisaur","lcc","Near Mint","English","","","2025-04-20 20:14:36.047000","90","False","False",""
"1","1","Danny Pink","who","Near Mint","English","","","2025-04-07 23:32:07.767000","39","False","False",""
"1","1","Darksteel Mutation","cmm","Near Mint","English","","","2025-04-15 02:13:24.963000","21","False","False",""
"1","1","Dawn of the Dead","tor","Near Mint","English","","","2025-04-15 05:40:44.770000","59","False","False",""
"2","2","Dawn's Truce","blb","Near Mint","English","","","2025-04-20 20:14:36.047000","9","False","False",""
"1","1","Day's Undoing","cmm","Near Mint","English","","","2025-04-20 20:14:36.047000","85","False","False",""
"1","1","Decadent Dragon // Expensive Taste","woe","Near Mint","English","","","2025-04-20 20:14:36.047000","287","False","False",""
"1","1","Decanter of Endless Water","clb","Near Mint","English","foil","","2025-04-20 20:14:36.047000","309","False","False",""
"1","1","Deekah, Fractal Theorist","c21","Near Mint","English","","","2025-04-07 23:32:07.767000","26","False","False",""
"1","1","Delay","sld","Near Mint","English","foil","","2025-04-20 20:14:36.047000","1788","False","False",""
"1","1","Delina, Wild Mage","afr","Near Mint","English","","","2025-04-21 11:47:18.543000","138","False","False",""
"1","1","Demon of Dark Schemes","kld","Near Mint","English","","","2025-04-15 05:40:44.770000","73","False","False",""
"2","2","Diregraf Colossus","soi","Near Mint","English","","","2025-04-07 23:57:21.370000","107","False","False",""
"1","1","Dismantling Wave","c20","Near Mint","English","","","2025-04-21 11:47:18.543000","25","False","False",""
"1","1","Dispatch","pip","Near Mint","English","","","2025-04-20 20:14:36.047000","159","False","False",""
"1","1","Divine Visitation","rvr","Near Mint","English","","","2025-04-20 20:15:02.857000","416","False","False",""
"1","1","Doorkeeper Thrull","mkm","Near Mint","English","","","2025-04-21 11:47:18.543000","13","False","False",""
"1","1","Dour Port-Mage","blb","Near Mint","English","","","2025-04-20 20:15:02.857000","47","False","False",""
"1","1","Dragonfire Blade","tdm","Near Mint","English","","","2025-04-21 11:47:18.543000","240","False","False",""
"1","1","Dragonlord Atarka","tdc","Near Mint","English","","","2025-04-07 23:55:14.103000","285","False","False",""
"1","1","Dreadhorde Arcanist","war","Near Mint","English","","","2025-04-21 11:47:18.543000","125","False","False",""
"1","1","Drown in the Loch","eld","Near Mint","English","","","2025-04-20 20:15:02.857000","188","False","False",""
"1","1","Druid of Purification","drc","Near Mint","English","","","2025-04-20 20:15:02.857000","49","False","False",""
"1","1","Druid of Purification","sld","Near Mint","English","foil","","2025-04-20 20:15:02.857000","877","False","False",""
"1","1","Eerie Interlude","soi","Near Mint","English","","","2025-04-21 11:47:18.543000","16","False","False",""
"1","1","Elspeth, Storm Slayer","tdm","Near Mint","English","","","2025-04-07 23:57:21.370000","11","False","False",""
"1","1","Elvish Champion","9ed","Near Mint","English","","","2025-04-07 23:50:45.123000","238","False","False",""
"1","1","Emerald Medallion","cmm","Near Mint","English","","","2025-04-20 20:15:02.857000","379","False","False",""
"1","1","Emry, Lurker of the Loch","mul","Near Mint","English","","","2025-04-07 23:32:07.767000","9","False","False",""
"1","1","Enter the Infinite","gtc","Near Mint","English","","","2025-04-20 20:15:02.857000","34","False","False",""
"1","1","Entity Tracker","dsk","Near Mint","English","","","2025-04-15 02:04:08.897000","53","False","False",""
"1","1","Eshki, Temur's Roar","tdc","Near Mint","English","","","2025-04-07 23:55:14.103000","3","False","False",""
"1","1","Etherium Sculptor","brc","Near Mint","English","","","2025-04-15 02:14:26.093000","82","False","False",""
"1","1","Etherium Sculptor","c18","Near Mint","English","","","2025-04-20 20:15:02.857000","90","False","False",""
"1","1","Everybody Lives!","who","Near Mint","English","","","2025-04-21 11:47:18.543000","18","False","False",""
"1","1","Everything Comes to Dust","who","Near Mint","English","","","2025-04-21 11:47:18.543000","19","False","False",""
"1","1","Extraplanar Lens","cmm","Near Mint","English","","","2025-04-15 01:52:57.990000","656","False","False",""
"1","1","Ezio Auditore da Firenze","acr","Near Mint","English","","","2025-04-20 20:15:02.857000","25","False","False",""
"1","1","Ezuri's Predation","c21","Near Mint","English","","","2025-04-20 20:15:02.857000","188","False","False",""
"1","1","Fallaji Wayfarer","dmc","Near Mint","English","","","2025-04-07 23:55:14.103000","11","False","False",""
"1","1","Farewell","who","Near Mint","English","foil","","2025-04-21 11:47:18.543000","207","False","False",""
"1","1","Farewell","who","Near Mint","English","","","2025-04-21 11:47:18.543000","207","False","False",""
"1","1","Fauna Shaman","bro","Near Mint","English","","","2025-04-20 20:15:02.857000","346","False","False",""
"2","2","Felidar Sovereign","bfz","Near Mint","English","","","2025-04-21 11:47:18.543000","26","False","False",""
"1","1","Felothar the Steadfast","tdc","Near Mint","English","","","2025-04-07 23:55:14.103000","4","False","False",""
"1","1","Fires of Invention","eld","Near Mint","English","","","2025-04-21 11:47:18.543000","361","False","False",""
"1","1","Flaming Tyrannosaurus","who","Near Mint","English","","","2025-04-21 11:47:18.543000","85","False","False",""
"1","1","Flaming Tyrannosaurus","who","Near Mint","English","foil","","2025-04-21 11:48:00.647000","976","False","False",""
"1","1","Flatline","who","Near Mint","English","","","2025-04-07 23:32:07.767000","358","False","False",""
"1","1","Flesh Duplicate","who","Near Mint","English","","","2025-04-20 20:15:02.857000","44","False","False",""
"1","1","Flumph","afr","Near Mint","English","foil","","2025-04-21 11:47:18.543000","15","False","False",""
"1","1","Fomori Vault","big","Near Mint","English","foil","","2025-04-21 11:48:00.647000","29","False","False",""
"1","1","Force of Will","2xm","Near Mint","English","","","2025-04-20 20:15:02.857000","51","False","False",""
"2","2","Forensic Gadgeteer","mkm","Near Mint","English","","","2025-04-20 20:15:02.857000","57","False","False",""
"1","1","Fractal Harness","c21","Near Mint","English","","","2025-04-20 20:15:02.857000","61","False","False",""
"1","1","Frostcliff Siege","tdm","Near Mint","English","","","2025-04-07 23:55:14.103000","385","False","False",""
"1","1","Frostcliff Siege","tdm","Near Mint","English","foil","","2025-04-21 11:47:18.543000","187","False","False",""
"1","1","Fyndhorn Elves","cmr","Near Mint","English","","","2025-04-20 20:15:02.857000","228","False","False",""
"1","1","Galadhrim Ambush","ltc","Near Mint","English","","","2025-04-07 23:50:45.123000","38","False","False",""
"1","1","Gamble","dmr","Near Mint","English","","","2025-04-07 23:40:24.323000","121","False","False",""
"1","1","Garruk, Cursed Huntsman","eld","Near Mint","English","","","2025-04-07 23:55:14.103000","191","False","False",""
"1","1","Garruk, Primal Hunter","c21","Near Mint","English","","","2025-04-20 20:15:02.857000","190","False","False",""
"1","1","General Kudro of Drannith","iko","Near Mint","English","","","2025-04-07 23:55:14.103000","187","False","False",""
"1","1","Get Lost","lci","Near Mint","English","foil","","2025-04-21 11:47:18.543000","14","False","False",""
"1","1","Ghostly Pilferer","otc","Near Mint","English","","","2025-04-21 11:47:18.543000","98","False","False",""
"1","1","Ghostway","rvr","Near Mint","English","","","2025-04-21 11:47:18.543000","308","False","False",""
"1","1","Ghyrson Starn, Kelermorph","40k","Near Mint","English","","","2025-04-07 23:57:21.370000","124","False","False",""
"1","1","Gisa, the Hellraiser","otj","Near Mint","English","","","2025-04-07 23:34:18.657000","288","False","False",""
"2","2","Gitaxian Probe","nph","Near Mint","English","","","2025-04-20 20:15:02.857000","35","False","False",""
"1","1","Glasspool Mimic // Glasspool Shore","znr","Near Mint","English","","","2025-04-20 20:15:02.857000","60","False","False",""
"1","1","Glimmer Lens","onc","Near Mint","English","","","2025-04-21 11:47:18.543000","44","False","False",""
"1","1","Glorious End","akh","Near Mint","English","","","2025-04-20 20:15:02.857000","133","False","False",""
"1","1","Goblin Bombardment","mh2","Near Mint","English","","","2025-04-07 23:40:24.323000","279","False","False",""
"1","1","Goblin Bombardment","ddn","Near Mint","English","","","2025-04-15 02:24:55.887000","24","False","False",""
"1","1","Goldspan Dragon","khm","Near Mint","English","","","2025-04-15 01:54:07.140000","139","False","False",""
"1","1","Gonti's Aether Heart","aer","Near Mint","English","","","2025-04-07 23:44:26.733000","152","False","False",""
"1","1","Goring Ceratops","xln","Near Mint","English","","","2025-04-21 11:47:18.543000","13","False","False",""
"1","1","Grasp of Fate","who","Near Mint","English","foil","","2025-04-21 11:47:18.543000","1057","False","False",""
"1","1","Grave Pact","cmm","Near Mint","English","","","2025-04-15 05:40:44.770000","165","False","False",""
"1","1","Grave Pact","cmm","Near Mint","English","etched","","2025-04-20 20:15:02.857000","513","False","False",""
"1","1","Grazilaxx, Illithid Scholar","afr","Near Mint","English","","","2025-04-20 20:15:02.857000","60","False","False",""
"1","1","Great Unclean One","40k","Near Mint","English","","","2025-04-15 05:40:44.770000","35","False","False",""
"1","1","Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun","lci","Near Mint","English","","","2025-04-20 20:15:02.857000","188","False","False",""
"1","1","Guardian Augmenter","c21","Near Mint","English","","","2025-04-20 20:15:02.857000","62","False","False",""
"1","1","Guardian Project","pip","Near Mint","English","","","2025-04-20 20:15:02.857000","199","False","False",""
"1","1","Gush","dd2","Near Mint","English","","","2025-04-20 20:15:02.857000","27","False","False",""
"1","1","Hamletback Goliath","m13","Near Mint","English","foil","","2025-04-21 11:47:18.543000","136","False","False",""
"1","1","Hammer of Nazahn","c17","Near Mint","English","","","2025-04-07 23:57:21.370000","51","False","False",""
"1","1","Hammer of Nazahn","cmm","Near Mint","English","","","2025-04-07 23:57:21.370000","388","False","False",""
"1","1","Hanweir Garrison","emn","Near Mint","English","","","2025-04-21 11:47:18.543000","130a","False","False",""
"1","1","Hardened Scales","lcc","Near Mint","English","","","2025-04-20 20:15:02.857000","243","False","False",""
"1","1","Hardened Scales","40k","Near Mint","English","","","2025-04-20 20:15:02.857000","215","False","False",""
"1","1","Heartless Conscription","otc","Near Mint","English","","","2025-04-15 05:40:44.770000","21","False","False",""
"1","1","Heliod, Sun-Crowned","cmm","Near Mint","English","","","2025-04-21 11:48:00.647000","29","False","False",""
"1","1","Heliod's Intervention","otc","Near Mint","English","","","2025-04-15 01:50:51.480000","81","False","False",""
"1","1","Henrika Domnathi // Henrika, Infernal Seer","vow","Near Mint","English","","","2025-04-15 05:40:44.770000","335","False","False",""
"1","1","Herald of Secret Streams","lcc","Near Mint","English","","","2025-04-21 11:47:18.543000","158","False","False",""
"1","1","High Fae Trickster","fdn","Near Mint","English","","","2025-04-20 20:15:02.857000","40","False","False",""
"1","1","Hired Claw","blb","Near Mint","English","foil","","2025-04-20 20:15:02.857000","317","False","False",""
"1","1","Hollowhenge Overlord","voc","Near Mint","English","","","2025-04-20 20:15:02.857000","36","False","False",""
"1","1","Horn of Gondor","ltr","Near Mint","English","","","2025-04-20 20:15:02.857000","240","False","False",""
"1","1","Hornet Nest","c21","Near Mint","English","","","2025-04-20 20:15:02.857000","192","False","False",""
"1","1","Hostile Investigator","big","Near Mint","English","foil","","2025-04-15 05:40:44.770000","10","False","False",""
"1","1","Hullbreaker Horror","clb","Near Mint","English","","","2025-04-20 20:15:02.857000","724","False","False",""
"1","1","Hurkyl's Recall","mm2","Near Mint","English","","","2025-04-07 23:32:07.767000","48","False","False",""
"1","1","Hylda of the Icy Crown","woe","Near Mint","English","","","2025-04-15 02:15:39.483000","206","False","False",""
"1","1","Ideas Unbound","sok","Near Mint","English","","","2025-04-20 20:15:02.857000","40","False","False",""
"1","1","Ilharg, the Raze-Boar","war","Near Mint","English","","","2025-04-21 11:47:18.543000","133","False","False",""
"1","1","Ill-Tempered Loner // Howlpack Avenger","vow","Near Mint","English","foil","","2025-04-21 11:47:18.543000","162","False","False",""
"1","1","Impact Tremors","dtk","Near Mint","English","","","2025-04-15 02:23:04.020000","140","False","False",""
"1","1","Impact Tremors","wot","Near Mint","English","","","2025-04-07 23:40:24.323000","44","False","False",""
"1","1","Imposing Grandeur","voc","Near Mint","English","","","2025-04-21 11:47:18.543000","24","False","False",""
"1","1","Incubation Druid","c21","Near Mint","English","","","2025-04-20 20:15:02.857000","195","False","False",""
"1","1","Indomitable Creativity","aer","Near Mint","English","","","2025-04-15 01:52:00.450000","85","False","False",""
"1","1","Inti, Seneschal of the Sun","lci","Near Mint","English","","","2025-04-21 11:47:18.543000","156","False","False",""
"1","1","Inti, Seneschal of the Sun","lci","Near Mint","English","","","2025-04-21 11:47:18.543000","295","False","False",""
"1","1","Into the Flood Maw","blb","Near Mint","English","","","2025-04-20 20:15:02.857000","52","False","False",""
"1","1","Iridescent Vinelasher","blb","Near Mint","English","","","2025-04-21 11:47:18.543000","99","False","False",""
"1","1","Jace, Wielder of Mysteries","war","Near Mint","English","","","2025-04-20 20:15:02.857000","54","False","False",""
"1","1","Jace's Archivist","m12","Near Mint","English","","","2025-04-20 20:15:02.857000","59","False","False",""
"1","1","Jace's Sanctum","c19","Near Mint","English","","","2025-04-07 23:32:07.767000","88","False","False",""
"1","1","Jarad, Golgari Lich Lord","gk1","Near Mint","English","","","2025-04-07 23:55:14.103000","65","False","False",""
"1","1","Jeskai Ascendancy","ktk","Near Mint","English","","","2025-04-21 11:47:35.987000","180","False","False",""
"1","1","Jodah, Archmage Eternal","2x2","Near Mint","English","foil","","2025-04-20 20:15:02.857000","233","False","False",""
"1","1","K-9, Mark I","who","Near Mint","English","foil","","2025-04-07 23:32:07.767000","537","False","False",""
"1","1","K-9, Mark I","who","Near Mint","English","foil","","2025-04-07 23:32:07.767000","953","False","False",""
"1","1","Kaito, Bane of Nightmares","dsk","Near Mint","English","","","2025-04-07 23:57:21.370000","220","False","False",""
"1","1","Kambal, Consul of Allocation","kld","Near Mint","English","","","2025-04-07 23:55:14.103000","183","False","False",""
"1","1","Kari Zev's Expertise","aer","Near Mint","English","foil","","2025-04-20 20:15:02.857000","88","False","False",""
"1","1","Karmic Justice","wot","Near Mint","English","foil","","2025-04-21 11:47:35.987000","7","False","False",""
"1","1","Kataki, War's Wage","sok","Near Mint","English","","","2025-04-21 11:47:35.987000","14","False","False",""
"1","1","Keeper of Keys","cn2","Near Mint","English","","","2025-04-20 20:15:02.857000","34","False","False",""
"1","1","Ketramose, the New Dawn","dft","Near Mint","English","","","2025-04-07 23:57:21.370000","209","False","False",""
"1","1","Ketramose, the New Dawn","dft","Near Mint","English","","","2025-04-07 23:57:21.370000","350","False","False",""
"1","1","Khârn the Betrayer","40k","Near Mint","English","","","2025-04-20 20:15:02.857000","79","False","False",""
"1","1","Khârn the Betrayer","40k","Near Mint","English","","","2025-04-21 11:47:35.987000","79","False","False",""
"1","1","Kindred Summons","c17","Near Mint","English","","","2025-04-15 01:54:51.533000","32","False","False",""
"1","1","Kitsa, Otterball Elite","blb","Near Mint","English","","","2025-04-20 20:15:02.857000","304","False","False",""
"1","1","Knight of New Alara","parb","Near Mint","English","foil","","2025-04-20 20:15:02.857000","70★","False","False",""
"1","1","Korvold, Gleeful Glutton","woc","Near Mint","English","foil","","2025-04-21 11:47:35.987000","38","False","False",""
"1","1","Krark, the Thumbless","cmr","Near Mint","English","","","2025-04-20 20:15:02.857000","189","False","False",""
"1","1","Krenko, Mob Boss","ddt","Near Mint","English","","","2025-04-07 23:40:24.323000","52","False","False",""
"1","1","Kynaios and Tiro of Meletis","c16","Near Mint","English","foil","","2025-04-20 20:15:02.857000","36","False","False",""
"1","1","Kynaios and Tiro of Meletis","c16","Near Mint","English","foil","","2025-04-07 23:57:21.370000","36","False","False",""
"1","1","Laboratory Maniac","isd","Near Mint","English","","","2025-04-20 20:15:02.857000","61","False","False",""
"1","1","Land Tax","cmm","Near Mint","English","","","2025-04-20 20:15:02.857000","37","False","False",""
"2","2","Lazotep Sliver","cmm","Near Mint","English","","","2025-04-15 05:40:44.770000","764","False","False",""
"1","1","Ledger Shredder","snc","Near Mint","English","","","2025-04-20 20:15:29.523000","46","False","False",""
"1","1","Leyline Binding","dmu","Near Mint","English","","","2025-04-21 11:47:35.987000","24","False","False",""
"1","1","Leyline Binding","otp","Near Mint","English","","","2025-04-21 11:47:35.987000","4","False","False",""
"1","1","Leyline of Anticipation","wot","Near Mint","English","","","2025-04-20 20:15:29.523000","23","False","False",""
"1","1","Leyline of Anticipation","pm20","Near Mint","English","","","2025-04-20 20:15:29.523000","64p","False","False",""
"1","1","Leyline of Sanctity","wot","Near Mint","English","foil","","2025-04-21 11:47:35.987000","10","False","False",""
"1","1","Lich-Knights' Conquest","woe","Near Mint","English","foil","","2025-04-15 05:40:44.770000","96","False","False",""
"1","1","Life from the Loam","rvr","Near Mint","English","foil","","2025-04-20 20:15:29.523000","350","False","False",""
"1","1","Life from the Loam","rvr","Near Mint","English","","","2025-04-20 20:15:29.523000","434","False","False",""
"1","1","Lightning Bolt","gn3","Near Mint","English","","","2025-04-07 23:40:24.323000","83","False","False",""
"1","1","Lightning Bolt","a25","Near Mint","English","","","2025-04-07 23:40:24.323000","141","False","False",""
"1","1","Lightning Greaves","ltc","Near Mint","English","","","2025-04-20 20:15:29.523000","281","False","False",""
"1","1","Loran of the Third Path","bro","Near Mint","English","","","2025-04-21 11:47:35.987000","12","False","False",""
"1","1","Lord of the Void","rvr","Near Mint","English","","","2025-04-15 05:40:44.770000","424","False","False",""
"1","1","Lord Skitter, Sewer King","woe","Near Mint","English","foil","","2025-04-15 05:40:44.770000","339","False","False",""
